feature,importance
engagement_rate,67.91900262844725
text_feat_354,20.909178376060407
text_feat_372,3.734332061360222
text_feat_94,3.4090289417200497
img_feat_43,1.105233024776122
img_feat_462,1.105233024776122
img_feat_14,1.0985027924045199
comments,0.7194891504553034
text_feat_499,0.0
text_feat_500,0.0
text_feat_501,0.0
text_feat_502,0.0
text_feat_503,0.0
text_feat_504,0.0
text_feat_505,0.0
text_feat_506,0.0
text_feat_507,0.0
text_feat_508,0.0
text_feat_509,0.0
text_feat_510,0.0
text_feat_511,0.0
shares,0.0
img_feat_1,0.0
img_feat_2,0.0
img_feat_3,0.0
img_feat_4,0.0
img_feat_5,0.0
img_feat_6,0.0
img_feat_7,0.0
img_feat_8,0.0
img_feat_9,0.0
img_feat_10,0.0
img_feat_11,0.0
img_feat_12,0.0
img_feat_13,0.0
img_feat_15,0.0
img_feat_16,0.0
img_feat_17,0.0
img_feat_18,0.0
img_feat_19,0.0
img_feat_20,0.0
img_feat_21,0.0
img_feat_22,0.0
img_feat_23,0.0
img_feat_24,0.0
img_feat_25,0.0
img_feat_26,0.0
img_feat_27,0.0
img_feat_28,0.0
img_feat_29,0.0
img_feat_30,0.0
img_feat_31,0.0
img_feat_32,0.0
img_feat_33,0.0
img_feat_34,0.0
img_feat_35,0.0
img_feat_36,0.0
img_feat_37,0.0
img_feat_38,0.0
img_feat_39,0.0
img_feat_40,0.0
img_feat_41,0.0
img_feat_42,0.0
img_feat_44,0.0
img_feat_45,0.0
img_feat_46,0.0
img_feat_47,0.0
img_feat_48,0.0
img_feat_49,0.0
img_feat_50,0.0
img_feat_51,0.0
img_feat_52,0.0
img_feat_53,0.0
img_feat_54,0.0
img_feat_55,0.0
img_feat_56,0.0
img_feat_57,0.0
img_feat_58,0.0
img_feat_59,0.0
img_feat_60,0.0
img_feat_61,0.0
img_feat_62,0.0
img_feat_63,0.0
img_feat_64,0.0
img_feat_65,0.0
img_feat_66,0.0
img_feat_67,0.0
img_feat_68,0.0
img_feat_69,0.0
img_feat_70,0.0
img_feat_71,0.0
img_feat_72,0.0
img_feat_73,0.0
img_feat_74,0.0
img_feat_75,0.0
img_feat_76,0.0
img_feat_77,0.0
img_feat_78,0.0
img_feat_79,0.0
img_feat_80,0.0
img_feat_81,0.0
img_feat_82,0.0
img_feat_83,0.0
img_feat_84,0.0
img_feat_85,0.0
img_feat_86,0.0
img_feat_87,0.0
img_feat_88,0.0
img_feat_89,0.0
img_feat_90,0.0
img_feat_91,0.0
img_feat_92,0.0
img_feat_93,0.0
img_feat_94,0.0
img_feat_95,0.0
img_feat_96,0.0
img_feat_97,0.0
img_feat_98,0.0
img_feat_99,0.0
img_feat_100,0.0
img_feat_101,0.0
img_feat_102,0.0
img_feat_103,0.0
img_feat_104,0.0
img_feat_105,0.0
img_feat_106,0.0
img_feat_107,0.0
img_feat_108,0.0
img_feat_109,0.0
img_feat_110,0.0
img_feat_111,0.0
img_feat_112,0.0
img_feat_113,0.0
img_feat_114,0.0
img_feat_115,0.0
img_feat_116,0.0
img_feat_117,0.0
img_feat_118,0.0
img_feat_119,0.0
img_feat_120,0.0
img_feat_121,0.0
img_feat_122,0.0
img_feat_123,0.0
img_feat_124,0.0
img_feat_125,0.0
img_feat_126,0.0
img_feat_127,0.0
img_feat_128,0.0
img_feat_129,0.0
img_feat_130,0.0
img_feat_131,0.0
img_feat_132,0.0
img_feat_133,0.0
img_feat_134,0.0
img_feat_135,0.0
img_feat_136,0.0
img_feat_137,0.0
img_feat_138,0.0
img_feat_139,0.0
img_feat_140,0.0
img_feat_141,0.0
img_feat_142,0.0
img_feat_143,0.0
img_feat_144,0.0
img_feat_145,0.0
img_feat_146,0.0
img_feat_147,0.0
img_feat_148,0.0
img_feat_149,0.0
img_feat_150,0.0
img_feat_151,0.0
img_feat_152,0.0
img_feat_153,0.0
img_feat_154,0.0
img_feat_155,0.0
img_feat_156,0.0
img_feat_157,0.0
img_feat_158,0.0
img_feat_159,0.0
img_feat_160,0.0
img_feat_161,0.0
img_feat_162,0.0
img_feat_163,0.0
img_feat_164,0.0
img_feat_165,0.0
img_feat_166,0.0
img_feat_167,0.0
img_feat_168,0.0
img_feat_169,0.0
img_feat_170,0.0
img_feat_171,0.0
img_feat_172,0.0
img_feat_173,0.0
img_feat_174,0.0
img_feat_175,0.0
img_feat_176,0.0
img_feat_177,0.0
img_feat_178,0.0
img_feat_179,0.0
img_feat_180,0.0
img_feat_181,0.0
img_feat_182,0.0
img_feat_183,0.0
img_feat_184,0.0
img_feat_185,0.0
img_feat_186,0.0
img_feat_187,0.0
img_feat_188,0.0
img_feat_189,0.0
img_feat_190,0.0
img_feat_191,0.0
img_feat_192,0.0
img_feat_193,0.0
img_feat_194,0.0
img_feat_195,0.0
img_feat_196,0.0
img_feat_197,0.0
img_feat_198,0.0
img_feat_199,0.0
img_feat_200,0.0
img_feat_201,0.0
img_feat_202,0.0
img_feat_203,0.0
img_feat_204,0.0
img_feat_205,0.0
img_feat_206,0.0
img_feat_207,0.0
img_feat_208,0.0
